Team_Flag_Src,Score_A,Score_B,Period,Time,Player,Action_Description,Total_Seconds,Number,Team_side,Team,quarter,subst_flag,time_elapsed,X_2_j_A,X_3_j_A,X_5_j_A,X_8_j_A,X_9_j_A,X_22_j_A,X_23_j_A,X_24_j_A,X_40_j_A,X_99_j_A,X_0_j_B,X_5_j_B,X_7_j_B,X_8_j_B,X_11_j_B,X_14_j_B,X_15_j_B,X_16_j_B,X_34_j_B,X_44_j_B,game_code,X_0_j_A,X_1_j_A,X_7_j_A,X_10_j_A,X_14_j_A,X_27_j_A,X_6_j_B,X_37_j_B,X_6_j_A,X_11_j_A,X_15_j_A,X_16_j_A,X_37_j_A,X_44_j_A,X_3_j_B,X_10_j_B,X_22_j_B,X_28_j_B,X_55_j_B,X_34_j_A,X_9_j_B,X_20_j_B,X_23_j_B,X_27_j_B,X_30_j_B,X_31_j_B,X_77_j_B
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_67.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_67--competition_208796,74,54,Q4,07:19,Kostas Papanikolaou,turnover; bad pass,439,16.0,A,GRE,4,0,10.0,,,1,0.0,,,,,,,1.0,1.0,0,,0.0,,0,,,0.0,121090,1.0,,0.0,,0.0,,0.0,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_53.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_53--competition_208796,74,54,Q4,07:19,Anas Mahmoud,steal,439,10.0,B,EGY,4,0,0.0,,,1,0.0,,,,,,,1.0,1.0,0,,0.0,,0,,,0.0,121090,1.0,,0.0,,0.0,,0.0,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_67.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_67--competition_208796,74,54,Q4,07:16,Thomas Walkup,foul drawn,436,0.0,A,GRE,4,0,3.0,,,1,0.0,,,,,,,1.0,1.0,0,,0.0,,0,,,0.0,121090,1.0,,0.0,,0.0,,0.0,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_53.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_53--competition_208796,74,54,Q4,07:16,Omar El-Sheikh,offensive foul,436,22.0,B,EGY,4,0,0.0,,,1,0.0,,,,,,,1.0,1.0,0,,0.0,,0,,,0.0,121090,1.0,,0.0,,0.0,,0.0,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_53.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_53--competition_208796,74,54,Q4,07:16,Omar El-Sheikh,turnover,436,22.0,B,EGY,4,0,0.0,,,1,0.0,,,,,,,1.0,1.0,0,,0.0,,0,,,0.0,121090,1.0,,0.0,,0.0,,0.0,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_67.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_67--competition_208796,74,54,Q4,06:59,Thomas Walkup,3pt jump shot missed,419,0.0,A,GRE,4,0,17.0,,,1,0.0,,,,,,,1.0,1.0,0,,0.0,,0,,,0.0,121090,1.0,,0.0,,0.0,,0.0,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_53.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_53--competition_208796,74,54,Q4,06:59,Anas Mahmoud,defensive rebound,419,10.0,B,EGY,4,0,0.0,,,1,0.0,,,,,,,1.0,1.0,0,,0.0,,0,,,0.0,121090,1.0,,0.0,,0.0,,0.0,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_53.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_53--competition_208796,74,56,Q4,06:50,Omar Oraby,layup made,410,55.0,B,EGY,4,0,9.0,,,1,0.0,,,,,,,1.0,1.0,0,,0.0,,0,,,0.0,121090,1.0,,0.0,,0.0,,0.0,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_53.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_53--competition_208796,74,56,Q4,06:50,Anas Mahmoud,made the assist,410,10.0,B,EGY,4,0,0.0,,,1,0.0,,,,,,,1.0,1.0,0,,0.0,,0,,,0.0,121090,1.0,,0.0,,0.0,,0.0,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_67.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_67--competition_208796,74,56,Q4,06:28,Konstantinos Mitoglou,2pt jump shot missed,388,44.0,A,GRE,4,0,22.0,,,1,0.0,,,,,,,1.0,1.0,0,,0.0,,0,,,0.0,121090,1.0,,0.0,,0.0,,0.0,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
