Team_Flag_Src,Score_A,Score_B,Period,Time,Player,Action_Description,Total_Seconds,Number,Team_side,Team,quarter,subst_flag,time_elapsed,X_0_j_A,X_5_j_A,X_7_j_A,X_8_j_A,X_11_j_A,X_14_j_A,X_16_j_A,X_34_j_A,X_44_j_A,X_0_j_B,X_1_j_B,X_2_j_B,X_4_j_B,X_7_j_B,X_8_j_B,X_9_j_B,X_13_j_B,X_19_j_B,X_24_j_B,X_92_j_B
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_67.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_67--competition_208722,0,6,Q1,07:23,Nick Calathes,defensive rebound,2243,8,A,GRE,1,0,14.0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,0,6,Q1,07:23,Shai Gilgeous-Alexander,3pt jump shot missed,2243,2,B,CAN,1,0,0.0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_67.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_67--competition_208722,3,6,Q1,07:08,Kostas Papanikolaou,3pt jump shot made,2228,16,A,GRE,1,0,15.0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_67.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_67--competition_208722,3,6,Q1,07:08,Giannis Antetokounmpo,made the assist,2228,34,A,GRE,1,0,0.0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,3,6,Q1,06:50,Dillon Brooks,2pt driving layup missed,2210,24,B,CAN,1,0,18.0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,3,6,Q1,06:50,Dwight Powell,offensive rebound,2210,7,B,CAN,1,0,0.0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,3,8,Q1,06:44,Dwight Powell,tip in made,2204,7,B,CAN,1,0,6.0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_67.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_67--competition_208722,3,8,Q1,06:42,Giannis Antetokounmpo,foul drawn,2202,34,A,GRE,1,0,2.0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,3,8,Q1,06:42,Dwight Powell,personal foul; 2 free throws awarded,2202,7,B,CAN,1,0,0.0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_67.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_67--competition_208722,4,8,Q1,06:42,Giannis Antetokounmpo,1st of 2 free throws made,2202,34,A,GRE,1,0,0.0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_67.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_67--competition_208722,5,8,Q1,06:42,Giannis Antetokounmpo,2nd of 2 free throws made,2202,34,A,GRE,1,0,0.0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_67.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_67--competition_208722,5,10,Q1,06:22,Nick Calathes,personal foul; 1 free throw awarded,2182,8,A,GRE,1,0,20.0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,5,10,Q1,06:22,Shai Gilgeous-Alexander,foul drawn,2182,2,B,CAN,1,0,0.0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,5,10,Q1,06:22,Shai Gilgeous-Alexander,2pt step back jump shot made,2182,2,B,CAN,1,0,0.0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,5,11,Q1,06:22,Shai Gilgeous-Alexander,1st free throw made,2182,2,B,CAN,1,0,0.0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_67.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_67--competition_208722,5,11,Q1,06:15,Giannis Antetokounmpo,foul drawn,2175,34,A,GRE,1,0,7.0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,5,11,Q1,06:15,Luguentz Dort,personal foul,2175,0,B,CAN,1,0,0.0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,5,11,Q1,06:15,Luguentz Dort,Substitution out,2175,0,B,CAN,1,1,0.0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,5,11,Q1,06:15,Nickeil Alexander-Walker,Substitution in,2175,1,B,CAN,1,2,0.0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_67.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_67--competition_208722,6,11,Q1,06:15,Giannis Antetokounmpo,1st of 2 free throws made,2175,34,A,GRE,1,0,0.0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_67.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_67--competition_208722,7,11,Q1,06:15,Giannis Antetokounmpo,2nd of 2 free throws made,2175,34,A,GRE,1,0,0.0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,7,14,Q1,06:02,Dillon Brooks,3pt jump shot made,2162,24,B,CAN,1,0,13.0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,7,14,Q1,06:02,Shai Gilgeous-Alexander,made the assist,2162,2,B,CAN,1,0,0.0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_67.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_67--competition_208722,7,14,Q1,05:34,Thomas Walkup,3pt jump shot missed,2134,0,A,GRE,1,0,28.0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,7,14,Q1,05:34,Dwight Powell,defensive rebound,2134,7,B,CAN,1,0,0.0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_67.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_67--competition_208722,7,14,Q1,05:26,Georgios Papagiannis,personal foul; 2 free throws awarded,2126,14,A,GRE,1,0,8.0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,7,14,Q1,05:26,Dwight Powell,foul drawn,2126,7,B,CAN,1,0,0.0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_67.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_67--competition_208722,7,14,Q1,05:26,Georgios Papagiannis,Substitution out,2126,14,A,GRE,1,1,0.0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_67.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_67--competition_208722,7,14,Q1,05:26,Dinos Mitoglou,Substitution in,2126,44,A,GRE,1,2,0.0,1,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,7,15,Q1,05:26,Dwight Powell,1st of 2 free throws made,2126,7,B,CAN,1,0,0.0,1,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,7,15,Q1,05:26,RJ Barrett,made the assist,2126,9,B,CAN,1,0,0.0,1,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0
