Team_Flag_Src,Score_A,Score_B,Period,Time,Player,Action_Description,Total_Seconds,Number,Team_side,Team,quarter,subst_flag,time_elapsed,X_1_j_A,X_9_j_A,X_13_j_A,X_18_j_A,X_19_j_A,X_20_j_A,X_21_j_A,X_24_j_A,X_30_j_A,X_34_j_A,X_2_j_B,X_4_j_B,X_5_j_B,X_6_j_B,X_7_j_B,X_8_j_B,X_9_j_B,X_14_j_B,X_16_j_B,X_23_j_B,X_24_j_B
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_58.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_58--competition_208791,11,10,Q1,04:08,Olivier Nkamhoua,personal foul; 2 free throws awarded,2048,13,A,FIN,1,0,18.0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,11,12,Q1,04:08,Willy Hernangomez,2nd of 2 free throws made,2048,14,B,ESP,1,0,0.0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,11,11,Q1,04:08,Xabi Lopez-Arostegui,made the assist,2048,6,B,ESP,1,0,0.0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,11,11,Q1,04:08,Willy Hernangomez,1st of 2 free throws made,2048,14,B,ESP,1,0,0.0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,11,10,Q1,04:08,Willy Hernangomez,foul drawn,2048,14,B,ESP,1,0,0.0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_58.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_58--competition_208791,11,10,Q1,04:08,Elias Valtonen,Substitution out,2048,19,A,FIN,1,1,0.0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,11,12,Q1,04:08,Willy Hernangomez,Substitution out,2048,14,B,ESP,1,1,0.0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,11,10,Q1,04:08,Xabi Lopez-Arostegui,Substitution out,2048,6,B,ESP,1,1,0.0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_58.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_58--competition_208791,11,10,Q1,04:08,Andre Gustavson,Substitution in,2048,30,A,FIN,1,2,0.0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,11,12,Q1,04:08,Usman Garuba,Substitution in,2048,16,B,ESP,1,2,0.0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,11,10,Q1,04:08,Rudy Fernandez,Substitution in,2048,5,B,ESP,1,2,0.0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_58.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_58--competition_208791,11,12,Q1,03:44,Sasu Salin,2pt floating jump shot missed,2024,9,A,FIN,1,0,24.0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_58.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_58--competition_208791,11,12,Q1,03:44,Olivier Nkamhoua,offensive rebound,2024,13,A,FIN,1,0,0.0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_58.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_58--competition_208791,11,12,Q1,03:43,,team turnover; 24 seconds violation,2023,,,,1,0,1.0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,11,15,Q1,03:22,Juan Nunez,made the assist,2002,24,B,ESP,1,0,21.0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,11,15,Q1,03:22,Rudy Fernandez,3pt jump shot made,2002,5,B,ESP,1,0,0.0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_58.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_58--competition_208791,11,15,Q1,03:00,Olivier Nkamhoua,3pt jump shot missed,1980,13,A,FIN,1,0,22.0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,11,15,Q1,03:00,Dario Brizuela,defensive rebound,1980,8,B,ESP,1,0,0.0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_58.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_58--competition_208791,11,15,Q1,02:38,Alexander Madsen,defensive rebound,1958,20,A,FIN,1,0,22.0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,11,15,Q1,02:38,Santi Aldama,2pt driving layup missed,1958,7,B,ESP,1,0,0.0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_58.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_58--competition_208791,11,15,Q1,02:22,Olivier Nkamhoua,3pt jump shot missed,1942,13,A,FIN,1,0,16.0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,11,15,Q1,02:22,Usman Garuba,defensive rebound,1942,16,B,ESP,1,0,0.0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1
