Team_Flag_Src,Score_A,Score_B,Period,Time,Player,Action_Description,Total_Seconds,Number,Team_side,Team,quarter,subst_flag,time_elapsed,X_0_j_A,X_1_j_A,X_2_j_A,X_4_j_A,X_7_j_A,X_8_j_A,X_9_j_A,X_13_j_A,X_19_j_A,X_24_j_A,X_92_j_A,X_1_j_B,X_3_j_B,X_5_j_B,X_6_j_B,X_11_j_B,X_13_j_B,X_15_j_B,X_17_j_B,X_22_j_B,X_26_j_B
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,15,19,Q1,03:19,Nickeil Alexander-Walker,Substitution in,1999,1,A,CAN,1,2,0.0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,15,19,Q1,03:13,Andrew Nembhard,defensive rebound,1993,19,A,CAN,1,0,6.0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_16.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_16--competition_208722,15,19,Q1,03:13,Patty Mills,3pt jump shot missed,1993,5,B,AUS,1,0,0.0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,15,19,Q1,03:05,Andrew Nembhard,foul drawn,1985,19,A,CAN,1,0,8.0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_16.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_16--competition_208722,15,19,Q1,03:05,Will Magnay,personal foul; 2 free throws awarded,1985,22,B,AUS,1,0,0.0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_16.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_16--competition_208722,15,19,Q1,03:05,Patty Mills,Substitution out,1985,5,B,AUS,1,1,0.0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_16.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_16--competition_208722,15,19,Q1,03:05,Josh Giddey,Substitution in,1985,3,B,AUS,1,2,0.0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,16,19,Q1,03:05,Andrew Nembhard,1st of 2 free throws made,1985,19,A,CAN,1,0,0.0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,17,19,Q1,03:05,Andrew Nembhard,2nd of 2 free throws made,1985,19,A,CAN,1,0,0.0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_16.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_16--competition_208722,17,21,Q1,02:59,Josh Giddey,2pt driving layup made,1979,3,B,AUS,1,0,6.0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,17,21,Q1,02:36,Trey Lyles,foul drawn,1956,8,A,CAN,1,0,23.0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,17,21,Q1,02:36,Trey Lyles,1st of 2 free throws missed,1956,8,A,CAN,1,0,0.0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_16.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_16--competition_208722,17,21,Q1,02:36,Josh Green,personal foul; 2 free throws awarded,1956,6,B,AUS,1,0,0.0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,18,21,Q1,02:36,Trey Lyles,2nd of 2 free throws made,1956,8,A,CAN,1,0,0.0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_16.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_16--competition_208722,18,23,Q1,02:23,Josh Giddey,2pt driving layup made,1943,3,B,AUS,1,0,13.0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0
