,Team,Team_Flag_Src,Score_A,Score_B,Period,Time,Number,Player,Action_Description,Total_Seconds,quarter,time_elapsed,X_0_j_A,X_1_j_A,X_2_j_A,X_3_j_A,X_7_j_A,X_9_j_A,X_13_j_A,X_23_j_A,X_24_j_A,X_2_j_B,X_6_j_B,X_8_j_B,X_9_j_B,X_10_j_B,X_11_j_B,X_14_j_B,X_32_j_B,X_50_j_B,X_99_j_B
168,CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,28,25,Q2,4:12,9,RJ  Barrett,turnover; ball handling,1452.0,2,8.0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1
169,BRA,https://www.fiba.basketball/api/img/team/logoflag/27?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,28,25,Q2,4:12,99,Lucas Dias,steal,1452.0,2,0.0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1
170,BRA,https://www.fiba.basketball/api/img/team/logoflag/27?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,28,27,Q2,4:06,14,Leonardo Meindl,made the assist,1446.0,2,6.0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1
171,BRA,https://www.fiba.basketball/api/img/team/logoflag/27?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,28,27,Q2,4:06,8,Vítor Benite,2pt driving layup made,1446.0,2,0.0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1
172,CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,28,27,Q2,3:47,0,Luguentz Dort,3pt jump shot missed,1427.0,2,19.0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1
173,CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,28,27,Q2,3:47,7,Dwight Powell,offensive rebound,1427.0,2,0.0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1
174,CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,31,27,Q2,3:39,2,Shai Gilgeous-Alexander,3pt jump shot made,1419.0,2,8.0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1
175,CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,31,27,Q2,3:39,7,Dwight Powell,made the assist,1419.0,2,0.0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1
176,BRA,https://www.fiba.basketball/api/img/team/logoflag/27?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,31,27,Q2,3:13,2,Yago Santos,turnover; bad pass,1393.0,2,26.0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1
177,BRA,https://www.fiba.basketball/api/img/team/logoflag/27?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,31,27,Q2,3:13,11,Gui Santos,Substitution out,1393.0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,31,27,Q2,3:13,0,Luguentz Dort,Substitution out,1393.0,2,0.0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1
179,CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,31,27,Q2,3:13,13,Kelly Olynyk,Substitution in,1393.0,2,0.0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1
180,BRA,https://www.fiba.basketball/api/img/team/logoflag/27?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,31,27,Q2,3:13,50,Bruno Caboclo,Substitution in,1393.0,2,0.0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1
181,CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,31,27,Q2,3:02,13,Kelly Olynyk,foul drawn,1382.0,2,11.0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1
182,BRA,https://www.fiba.basketball/api/img/team/logoflag/27?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,31,27,Q2,3:02,50,Bruno Caboclo,personal foul,1382.0,2,0.0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1
183,BRA,https://www.fiba.basketball/api/img/team/logoflag/27?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,31,27,Q2,3:02,50,Bruno Caboclo,unsportsmanlike foul; 2 free throws awarded,1382.0,2,0.0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1
