Quarter,Clock,Player,Team,Action,TeamLineup,OpponentLineup,Points,OPPpoints,FGA,OPPFGA,FTA,OPPFTA,oREB,OPPoREB,dREB,OPPdREB,TOV,OPPTOV
1,06:58:00,Nickeil ALEXANDER-WALKER,CAN,Assist (4),,,0,0,0,0,0,0,0,0,0,0,0,0
1,06:40:00,Trae BELL-HAYNES,CAN,"Personal foul (P1,T1)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,06:40:00,Hayk GYOKCHYAN,LBN,Foul drawn,,,0,0,0,0,0,0,0,0,0,0,0,0
1,06:40:00,Karim Raphael EZZEDINE,LBN,Substitution,,,0,0,0,0,0,0,0,0,0,0,0,0
1,06:34:00,Ali HAIDAR,LBN,"Turnover, Bad pass (3)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,06:34:00,Melvin EJIM,CAN,Steal (2),,,0,0,0,0,0,0,0,0,0,0,0,0
1,06:26:00,Phil SCRUBB,CAN,3PtsFG fast break made (3 Pts),,,0,0,0,0,0,0,0,0,0,0,0,0
1,06:26:00,Trae BELL-HAYNES,CAN,Assist (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,06:13:00,Wael ARAKJI,LBN,"2PtsFG inside paint, Driving Layup missed",,,0,0,0,0,0,0,0,0,0,0,0,0
1,06:13:00,Karim Raphael EZZEDINE,LBN,Offensive rebound (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,06:07:00,Karim Raphael EZZEDINE,LBN,"2PtsFG inside paint, Layup missed",,,0,0,0,0,0,0,0,0,0,0,0,0
1,06:07:00,Melvin EJIM,CAN,Defensive rebound (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,06:06:00,Sergio EL DARWICH,LBN,"Personal foul (P1,T2)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,06:06:00,Nickeil ALEXANDER-WALKER,CAN,Foul drawn,,,0,0,0,0,0,0,0,0,0,0,0,0
1,06:06:00,Omari Rasulala SPELLMAN,LBN,Substitution,,,0,0,0,0,0,0,0,0,0,0,0,0
1,06:06:00,Zach EDEY,CAN,Substitution,,,0,0,0,0,0,0,0,0,0,0,0,0
1,05:56:00,Zach EDEY,CAN,"2PtsFG inside paint, Layup made (2 Pts)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,05:56:00,Phil SCRUBB,CAN,Assist (4),,,0,0,0,0,0,0,0,0,0,0,0,0
1,05:39:00,Amir SAOUD,LBN,"2PtsFG inside paint, Floating Jump Shot missed",,,0,0,0,0,0,0,0,0,0,0,0,0
1,05:39:00,Melvin EJIM,CAN,Defensive rebound (2),,,0,0,0,0,0,0,0,0,0,0,0,0
1,05:30:00,Melvin EJIM,CAN,"2PtsFG inside paint, Layup blocked",,,0,0,0,0,0,0,0,0,0,0,0,0
1,05:30:00,Ali HAIDAR,LBN,Blocked shot (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,05:30:00,Melvin EJIM,CAN,Offensive rebound (3),,,0,0,0,0,0,0,0,0,0,0,0,0
1,05:24:00,Melvin EJIM,CAN,"Turnover, Ball handling (1)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,05:24:00,Karim Raphael EZZEDINE,LBN,Steal (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,05:12:00,Wael ARAKJI,LBN,"2PtsFG inside paint, Driving Layup made (8 Pts)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,04:51:00,Ali HAIDAR,LBN,"Personal foul (P1,T3)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,04:51:00,Zach EDEY,CAN,Foul drawn,,,0,0,0,0,0,0,0,0,0,0,0,0
1,04:51:00,Karim ZEINOUN,LBN,Substitution,,,0,0,0,0,0,0,0,0,0,0,0,0
1,04:51:00,Shai GILGEOUS-ALEXANDER,CAN,Substitution,,,0,0,0,0,0,0,0,0,0,0,0,0
1,04:51:00,RJ BARRETT,CAN,Substitution,,,0,0,0,0,0,0,0,0,0,0,0,0
1,04:51:00,Dillon BROOKS,CAN,Substitution,,,0,0,0,0,0,0,0,0,0,0,0,0
1,04:46:00,Nickeil ALEXANDER-WALKER,CAN,3PtsFG made (3 Pts),,,0,0,0,0,0,0,0,0,0,0,0,0
1,04:46:00,Zach EDEY,CAN,Assist (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,04:24:00,Omari Rasulala SPELLMAN,LBN,3PtsFG missed,,,0,0,0,0,0,0,0,0,0,0,0,0
1,04:24:00,Shai GILGEOUS-ALEXANDER,CAN,Defensive rebound (2),,,0,0,0,0,0,0,0,0,0,0,0,0
1,04:11:00,Zach EDEY,CAN,"2PtsFG outside paint, Hook Shot made (4 Pts)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,04:11:00,Shai GILGEOUS-ALEXANDER,CAN,Assist (3),,,0,0,0,0,0,0,0,0,0,0,0,0
1,03:58:00,Ali HAIDAR,LBN,3PtsFG missed,,,0,0,0,0,0,0,0,0,0,0,0,0
1,03:58:00,Nickeil ALEXANDER-WALKER,CAN,Defensive rebound (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,03:51:00,Ali HAIDAR,LBN,"Personal foul, 2 free throws awarded (P2,T4)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,03:51:00,Shai GILGEOUS-ALEXANDER,CAN,Foul drawn,,,0,0,0,0,0,0,0,0,0,0,0,0
1,03:51:00,Kelly OLYNYK,CAN,Substitution,,,0,0,0,0,0,0,0,0,0,0,0,0
1,03:51:00,nan,nan,Timeout,,,0,0,0,0,0,0,0,0,0,0,0,0
