Team,Team_Flag_Src,Score_A,Score_B,Period,Time,Number,Player,Action_Description,Total_Seconds,quarter,time_elapsed,X_4_j_A,X_5_j_A,X_6_j_A,X_9_j_A,X_10_j_A,X_11_j_A,X_12_j_A,X_14_j_A,X_15_j_A,X_0_j_B,X_1_j_B,X_2_j_B,X_3_j_B,X_7_j_B,X_9_j_B,X_13_j_B,X_15_j_B,X_23_j_B,X_24_j_B
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,73,76,Q3,4:15,11,Jalen Brunson,Substitution out,1155.0,3,0.0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,73,76,Q3,4:15,15,Austin Reaves,Substitution in,1155.0,3,0.0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,73,76,Q3,4:15,9,Bobby Portis Jr,Substitution in,1155.0,3,0.0,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,73,76,Q3,4:15,13,Kelly Olynyk,Substitution in,1155.0,3,0.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,73,77,Q3,4:15,2,Shai Gilgeous-Alexander,1st free throw made,1155.0,3,0.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,73,77,Q3,4:03,1,Nickeil Alexander-Walker,steal,1143.0,3,12.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,73,77,Q3,4:03,9,Bobby Portis Jr,turnover; ball handling,1143.0,3,0.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,73,77,Q3,4:02,1,Nickeil Alexander-Walker,foul drawn,1142.0,3,1.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,73,77,Q3,4:02,9,Bobby Portis Jr,unsportsmanlike foul; 2 free throws awarded,1142.0,3,0.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,73,78,Q3,4:02,1,Nickeil Alexander-Walker,1st of 2 free throws made,1142.0,3,0.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
