Team_Flag_Src,Score_A,Score_B,Period,Time,Player,Action_Description,Total_Seconds,Number,Team_side,Team,quarter,subst_flag,time_elapsed,X_3_j_A,X_5_j_A,X_7_j_A,X_9_j_A,X_13_j_A,X_15_j_A,X_22_j_A,X_23_j_A,X_27_j_A,X_30_j_A,X_33_j_A,X_4_j_B,X_5_j_B,X_6_j_B,X_7_j_B,X_9_j_B,X_10_j_B,X_11_j_B,X_13_j_B,X_14_j_B
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_9716.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_9716--competition_208722,12,8,Q1,05:32,Wenyen Gabriel,defensive rebound,2132,9,B,SSD,1,0,0.0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_9716.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_9716--competition_208722,12,10,Q1,05:21,Carlik Jones,made the assist,2121,4,B,SSD,1,0,11.0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_9716.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_9716--competition_208722,12,10,Q1,05:21,Marial Shayok,2pt pullup jump shot made,2121,11,B,SSD,1,0,0.0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,12,10,Q1,05:06,Aleksa Avramovic,foul drawn,2106,30,A,SRB,1,0,15.0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_9716.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_9716--competition_208722,12,10,Q1,05:06,Carlik Jones,personal foul,2106,4,B,SSD,1,0,0.0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,12,10,Q1,05:06,Bogdan Bogdanovic,Substitution out,2106,7,A,SRB,1,1,0.0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,12,10,Q1,05:06,Ognjen Dobric,Substitution in,2106,13,A,SRB,1,2,0.0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,12,10,Q1,05:00,Vanja Marinkovic,layup missed,2100,9,A,SRB,1,0,6.0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_9716.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_9716--competition_208722,12,10,Q1,05:00,Marial Shayok,defensive rebound,2100,11,B,SSD,1,0,0.0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,12,10,Q1,04:54,Nikola Jokic,defensive rebound,2094,15,A,SRB,1,0,6.0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_9716.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_9716--competition_208722,12,10,Q1,04:54,Carlik Jones,3pt jump shot missed,2094,4,B,SSD,1,0,0.0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,12,10,Q1,04:45,Nikola Jokic,offensive rebound,2085,15,A,SRB,1,0,9.0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,12,10,Q1,04:45,Ognjen Dobric,2pt floating jump shot missed,2085,13,A,SRB,1,0,0.0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,14,10,Q1,04:34,Filip Petrusev,layup made,2074,3,A,SRB,1,0,11.0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,14,10,Q1,04:34,Ognjen Dobric,made the assist,2074,13,A,SRB,1,0,0.0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_9716.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_9716--competition_208722,14,10,Q1,04:21,Marial Shayok,Substitution out,2061,11,B,SSD,1,1,13.0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_9716.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_9716--competition_208722,14,10,Q1,04:21,Peter Jok,Substitution in,2061,14,B,SSD,1,2,0.0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,14,10,Q1,04:19,Nikola Jokic,defensive rebound,2059,15,A,SRB,1,0,2.0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_9716.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_9716--competition_208722,14,10,Q1,04:19,Bul Kuol,2pt jump shot missed,2059,7,B,SSD,1,0,0.0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,14,10,Q1,04:15,Aleksa Avramovic,layup missed,2055,30,A,SRB,1,0,4.0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_9716.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_9716--competition_208722,14,10,Q1,04:15,Wenyen Gabriel,blocked the shot,2055,9,B,SSD,1,0,0.0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_9716.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_9716--competition_208722,14,10,Q1,04:15,Carlik Jones,defensive rebound,2055,4,B,SSD,1,0,0.0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_9716.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_9716--competition_208722,14,13,Q1,04:04,Carlik Jones,made the assist,2044,4,B,SSD,1,0,11.0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_9716.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_9716--competition_208722,14,13,Q1,04:04,Bul Kuol,3pt jump shot made,2044,7,B,SSD,1,0,0.0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1
